"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-WE-A8K6-06A-11R-A37K-07",0.0190127440421655,0,0.113714536627172,0.238728807577879,0,0.0447255021383652,0,0,0,0,0.583818409614418
"TCGA-DA-A1I2-06A-21R-A18U-07",0.0211781873498323,0,0,0.441263716187447,0,0.0974873641020527,0,0.0042146105753218,0.0357280696871541,0,0.400128052098192
"TCGA-D3-A8GP-06A-11R-A37K-07",0.0197995039943673,0,0,0.387865936941017,0,0.0626204416220903,0.0931987503261948,0.000718561241017495,0.0150832775094033,0,0.42071352836591
"TCGA-EE-A3AB-06A-11R-A18S-07",0.0037184086069353,0.0700430676556435,0.0174871760556359,0.531090866008112,0,0.0777865480514636,0,0,0.0365708785076011,0,0.263303055114609
"TCGA-FS-A1ZK-06A-11R-A18T-07",0.0188400207513402,0,0,0.134725281401676,0.2724155540139,0.0181937245394979,0.0407850541873685,0,0.00699621212460886,0,0.508044152981609
"TCGA-EE-A2MF-06A-11R-A21D-07",0.0205329146884218,0,0,0.617594537752102,0,0.0986155808793121,0,0.00448776825195661,0.0201481441417617,0,0.238621054286446
"TCGA-D3-A1Q5-06A-11R-A18T-07",0.0372258274682901,0,0,0.340737052794808,0,0.0941452667216831,0,0,0.0669909684686929,0.00331482086894051,0.457586063677585
"TCGA-ER-A19D-06A-11R-A18S-07",0.0607571206878313,0,0.0146608966452395,0.374554543159565,0,0.102262378483838,0.0277165501362446,0.0167990246889045,0.0520723038724002,0,0.351177182325977
"TCGA-D3-A3C7-06A-11R-A18U-07",0.0251524565479596,0.0160961432426677,0,0.475982970979497,0,0.0603064579234885,0,0.0302567876355129,0.0615830887975121,0,0.330622094873362
"TCGA-FR-A3YO-06A-11R-A239-07",0.00506992992395622,0.0451060477916527,0.0233086687491177,0.137856356656856,0.0825377883961156,0.0175214747090919,0.0739733225619116,0,0.00996704180272845,0,0.60465936940857
